topology,phase,version,host,step,value,unit
standalone_same,teardown,before,103,regroup,0.1988981730019077,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,regroup,0.1906206760004352,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,regroup,0.1584367499981454,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,regroup,0.15384990899838158,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,link_delete,21.881140870002127,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,link_delete,21.944572049999806,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,link_delete,1.4429912910018174,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,link_delete,1.4755538709996472,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,last_peer_crypto,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,last_peer_crypto,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,last_peer_crypto,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,last_peer_crypto,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,bridge_reset,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,bridge_reset,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,bridge_reset,0.35899442799927783,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,bridge_reset,0.33411100800003624,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,namespace_remove,0.41913053300049796,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,namespace_remove,0.4453701889997319,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,namespace_remove,0.07766712100055884,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,namespace_remove,0.08148973399875103,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,residual,0.013892757996472938,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,residual,0.014272633001382928,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,residual,0.011372609000318334,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,residual,0.010276483999405173,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,endpoint_total,22.807175816999916,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,endpoint_total,22.86172220899971,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,endpoint_total,2.1046517789982317,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,endpoint_total,2.115458279999075,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,pool_finalize,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,pool_finalize,0,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,pool_finalize,19.15326676299992,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,pool_finalize,19.488554655999906,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,final_total,22.807175816999916,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,final_total,22.86172220899971,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,final_total,21.29069143400011,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,final_total,21.624330769000153,phase wall seconds per 1000 endpoints
standalone_cross,setup,before,103,namespace_create,191.64908490701328,mean step latency ms per endpoint
standalone_cross,setup,before,104,namespace_create,188.84418300700963,mean step latency ms per endpoint
standalone_cross,setup,after,103,namespace_create,7.868200965043797,mean step latency ms per endpoint
standalone_cross,setup,after,104,namespace_create,8.669533811946167,mean step latency ms per endpoint
standalone_cross,setup,before,103,endpoint_veth,1.1218170359861688,mean step latency ms per endpoint
standalone_cross,setup,before,104,endpoint_veth,1.0944103069905395,mean step latency ms per endpoint
standalone_cross,setup,after,103,endpoint_veth,4.953951551009595,mean step latency ms per endpoint
standalone_cross,setup,after,104,endpoint_veth,5.114434823988631,mean step latency ms per endpoint
standalone_cross,setup,before,103,namespace_address,213.49036903999058,mean step latency ms per endpoint
